 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 AK ," 2,000 "," 2,230 "," 2,940 "," 3,310 "," 3,480 "," 3,390 "," 3,590 "," 3,620 "," 3,800 "," 3,780 "," 3,620 "," 3,680 "," 3,790 "," 4,140 "," 4,270 "," 4,690 "," 4,990 "," 5,070 "
 AL ," 1,730 "," 1,980 "," 2,240 "," 2,570 "," 2,910 "," 2,970 "," 3,100 "," 3,320 "," 3,540 "," 3,520 "," 3,170 "," 3,130 "," 3,220 "," 3,480 "," 3,590 "," 3,910 "," 4,200 "," 4,500 "
 AR ," 2,240 "," 2,350 "," 2,450 "," 2,790 "," 3,070 "," 2,960 "," 3,190 "," 3,280 "," 3,400 "," 3,400 "," 3,190 "," 3,140 "," 3,310 "," 3,640 "," 3,830 "," 4,200 "," 4,640 "," 4,970 "
 AZ ," 1,750 "," 2,160 "," 2,630 "," 3,030 "," 3,420 "," 3,800 "," 4,030 "," 4,220 "," 4,350 "," 4,190 "," 3,610 "," 3,290 "," 3,330 "," 3,540 "," 3,710 "," 4,050 "," 4,480 "," 4,750 "
 CA ," 1,720 "," 2,020 "," 2,350 "," 2,640 "," 3,150 "," 3,300 "," 3,530 "," 3,640 "," 3,550 "," 3,450 "," 3,020 "," 2,770 "," 2,770 "," 2,950 "," 3,130 "," 3,420 "," 3,820 "," 4,140 "
 CO ," 1,810 "," 2,140 "," 2,280 "," 2,590 "," 3,130 "," 3,230 "," 3,390 "," 3,490 "," 3,590 "," 3,620 "," 3,300 "," 3,120 "," 3,180 "," 3,390 "," 3,530 "," 3,870 "," 4,260 "," 4,490 "
 CT ," 1,670 "," 1,980 "," 2,240 "," 2,350 "," 2,720 "," 2,730 "," 2,930 "," 2,880 "," 2,710 "," 2,620 "," 2,470 "," 2,480 "," 2,620 "," 2,770 "," 2,860 "," 3,050 "," 3,300 "," 3,520 "
 DC ," 1,430 "," 1,690 "," 1,830 "," 1,870 "," 2,050 "," 2,030 "," 2,390 "," 2,440 "," 2,350 "," 2,250 "," 2,120 "," 2,080 "," 2,140 "," 2,280 "," 2,340 "," 2,420 "," 2,670 "," 2,930 "
 DE ," 2,130 "," 2,570 "," 2,810 "," 3,150 "," 3,480 "," 3,440 "," 3,720 "," 3,790 "," 3,660 "," 3,560 "," 3,260 "," 3,180 "," 3,250 "," 3,420 "," 3,480 "," 3,780 "," 4,100 "," 4,380 "
 FL ," 1,850 "," 2,130 "," 2,460 "," 2,720 "," 3,080 "," 3,330 "," 3,630 "," 3,900 "," 3,800 "," 3,650 "," 3,270 "," 3,140 "," 3,190 "," 3,370 "," 3,490 "," 3,880 "," 4,310 "," 4,700 "
 GA ," 2,150 "," 2,340 "," 2,700 "," 3,090 "," 3,400 "," 3,560 "," 3,780 "," 3,880 "," 3,870 "," 3,700 "," 3,300 "," 3,170 "," 3,230 "," 3,470 "," 3,680 "," 4,110 "," 4,550 "," 4,940 "
 HI ," 1,050 "," 1,220 "," 1,410 "," 1,590 "," 1,990 "," 2,150 "," 2,400 "," 2,720 "," 2,560 "," 2,470 "," 2,200 "," 2,080 "," 2,390 "," 2,510 "," 2,630 "," 2,950 "," 3,330 "," 3,600 "
 IA ," 1,430 "," 1,620 "," 1,790 "," 2,100 "," 2,180 "," 2,170 "," 2,380 "," 2,620 "," 2,740 "," 2,720 "," 2,550 "," 2,740 "," 2,910 "," 3,150 "," 3,350 "," 3,630 "," 3,940 "," 4,190 "
 ID ," 1,900 "," 2,070 "," 2,120 "," 2,360 "," 2,780 "," 2,850 "," 3,150 "," 3,310 "," 3,410 "," 3,280 "," 2,850 "," 2,650 "," 2,690 "," 2,840 "," 2,980 "," 3,320 "," 3,750 "," 4,100 "
 IL ," 1,720 "," 2,010 "," 2,220 "," 2,540 "," 2,760 "," 2,760 "," 2,950 "," 3,080 "," 3,040 "," 2,990 "," 2,750 "," 2,700 "," 2,790 "," 3,010 "," 3,120 "," 3,410 "," 3,700 "," 3,930 "
 IN ," 1,690 "," 1,820 "," 2,120 "," 2,530 "," 2,720 "," 2,860 "," 2,930 "," 2,990 "," 3,030 "," 2,960 "," 2,710 "," 2,650 "," 2,780 "," 3,020 "," 3,140 "," 3,380 "," 3,660 "," 3,880 "
 KS ," 1,550 "," 1,810 "," 1,940 "," 2,190 "," 2,500 "," 2,430 "," 2,620 "," 2,740 "," 2,790 "," 2,810 "," 2,680 "," 2,710 "," 2,830 "," 3,110 "," 3,240 "," 3,520 "," 3,770 "," 3,900 "
 KY ," 1,370 "," 1,480 "," 1,660 "," 2,110 "," 2,300 "," 2,460 "," 2,560 "," 2,710 "," 2,790 "," 2,730 "," 2,520 "," 2,520 "," 2,650 "," 2,870 "," 2,940 "," 3,110 "," 3,370 "," 3,580 "
 LA ," 1,890 "," 1,970 "," 2,390 "," 2,660 "," 2,950 "," 3,170 "," 3,150 "," 3,820 "," 3,980 "," 4,030 "," 3,740 "," 3,590 "," 3,710 "," 4,030 "," 4,230 "," 4,650 "," 5,100 "," 5,390 "
 MA ," 1,700 "," 1,870 "," 2,040 "," 2,080 "," 2,480 "," 2,450 "," 2,690 "," 2,800 "," 2,620 "," 2,590 "," 2,440 "," 2,450 "," 2,580 "," 2,750 "," 2,920 "," 3,130 "," 3,460 "," 3,650 "
 MD ," 2,370 "," 2,620 "," 2,920 "," 3,260 "," 3,630 "," 3,600 "," 3,980 "," 4,090 "," 3,770 "," 3,670 "," 3,430 "," 3,360 "," 3,480 "," 3,750 "," 3,880 "," 4,200 "," 4,590 "," 4,910 "
 ME ," 2,020 "," 2,290 "," 2,220 "," 2,500 "," 2,800 "," 2,720 "," 2,940 "," 2,860 "," 2,910 "," 2,940 "," 2,920 "," 2,840 "," 2,960 "," 3,110 "," 3,270 "," 3,510 "," 3,860 "," 4,170 "
 MI ," 2,390 "," 2,490 "," 2,670 "," 3,030 "," 3,060 "," 2,940 "," 2,830 "," 2,730 "," 2,640 "," 2,670 "," 2,550 "," 2,670 "," 2,780 "," 2,880 "," 2,900 "," 3,110 "," 3,260 "," 3,520 "
