state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
AK,0.949999988,1.120000005,0.769999981,0.769999981,0.829999983,1.039999962,1.059999943,0.910000026,1.169999957,1.279999971,1.700000048,2.180000067,1.99000001,1.879999995,1.690000057,1.779999971,1.700000048,2.089999914
AL,2.74000001,2.650000095,2.700000048,2.880000114,2.630000114,2.799999952,2.410000086,2.880000114,3.430000067,4.480000019,5.690000057,6.329999924,5.760000229,4.860000134,4.820000172,4.96999979,4.869999886,5.320000172
AR,2.230000019,2.019999981,2.299999952,2.059999943,2.059999943,2.299999952,1.769999981,2.210000038,2.619999886,3.140000105,3.980000019,4.260000229,3.720000029,2.920000076,2.529999971,3.029999971,3.190000057,3.890000105
AZ,2.150000095,2.210000038,2.190000057,2.900000095,2.859999895,2.920000076,2.430000067,2.599999905,3.819999933,5.699999809,7.460000038,8.779999733,8.130000114,6.610000134,4.869999886,4.460000038,4.010000229,4.289999962
CA,1.620000005,1.649999976,1.899999976,2.079999924,1.889999986,2.099999905,1.899999976,2.619999886,3.599999905,4.980000019,6.179999828,6.480000019,5.5,4.190000057,3.069999933,2.849999905,2.549999952,2.920000076
CO,1.429999948,1.450000048,1.99000001,1.950000048,1.830000043,2,1.600000024,1.950000048,2.460000038,3.279999971,4.320000172,4.860000134,4.400000095,3.640000105,2.799999952,2.680000067,2.470000029,2.720000029
CT,1.200000048,1.370000005,1.389999986,1.450000048,1.419999957,1.470000029,1.330000043,1.470000029,1.870000005,2.25,2.24000001,2.339999914,2.380000114,2.029999971,1.860000014,2,1.980000019,2.220000029
DC,3.869999886,3.549999952,3.640000105,3.700000048,4.199999809,4.730000019,3.309999943,3.75999999,5.130000114,6.809999943,8.149999619,8.329999924,7.619999886,6.199999809,5.619999886,5.570000172,5.519999981,5.96999979
DE,2.279999971,1.960000038,1.799999952,2.220000029,1.909999967,2.059999943,1.779999971,2.119999886,2.75,3.369999886,4.739999771,4.920000076,4.360000134,3.839999914,3.279999971,3.599999905,3.099999905,3.710000038
FL,2.74000001,2.75,2.789999962,2.99000001,2.74000001,2.819999933,2.25999999,2.640000105,3.569999933,5.389999866,7.130000114,8.029999733,7.880000114,6.559999943,5.21999979,4.829999924,4.079999924,4.449999809
GA,2.829999924,2.880000114,2.970000029,3.25,3.150000095,3.289999962,2.859999895,3.470000029,4.110000134,5.449999809,6.710000038,7.849999905,6.989999771,5.559999943,5.329999924,5.360000134,4.929999828,5.210000038
HI,1.870000005,2.339999914,1.960000038,1.820000052,1.899999976,2.079999924,1.74000001,1.529999971,2.25999999,2.970000029,3.930000067,4.389999866,3.769999981,3.690000057,2.529999971,2.420000076,2.640000105,2.680000067
IA,1.570000052,1.850000024,1.779999971,1.690000057,1.960000038,2.359999895,1.600000024,1.629999995,1.74000001,1.899999976,2.390000105,2.390000105,2.079999924,1.730000019,1.639999986,1.820000052,1.889999986,2.130000114
ID,2.109999895,2.24000001,1.940000057,1.620000005,1.379999995,1.600000024,1.360000014,1.360000014,2.00999999,2.690000057,3.539999962,4.070000172,3.700000048,3.079999924,2.359999895,2.069999933,1.879999995,2.00999999
IL,2.180000067,2.190000057,2.400000095,2.25,2.170000076,2.650000095,2.150000095,2.660000086,3.039999962,3.650000095,4.349999905,4.46999979,4.010000229,3.5,3.039999962,3.019999981,2.980000019,3.450000048
IN,2.769999981,2.819999933,3.089999914,2.960000038,3.119999886,3.720000029,2.880000114,3.359999895,3.640000105,4.329999924,4.849999905,5.119999886,4.579999924,3.880000114,3.599999905,3.849999905,3.880000114,4.260000229
KS,1.950000048,2.079999924,2.049999952,2.00999999,2.069999933,2.119999886,1.860000014,2.210000038,2.430000067,2.660000086,3.400000095,3.50999999,3.170000076,2.99000001,2.619999886,2.859999895,2.950000048,2.970000029
KY,3.309999943,3.460000038,3.589999914,3,3.039999962,3.529999971,2.789999962,2.730000019,3.24000001,3.829999924,4.440000057,4.400000095,3.910000086,3.279999971,3.299999952,3.420000076,3.420000076,4.079999924
LA,2.779999971,3.75,2.430000067,2.539999962,2.460000038,2.190000057,1.940000057,2.039999962,2.579999924,3.109999895,4.210000038,4.769999981,4.440000057,3.839999914,4.03000021,4.289999962,4.71999979,5.420000076
MA,0.99000001,1.090000033,1.110000014,1.299999952,1.190000057,1.519999981,1.639999986,2.279999971,2.329999924,2.769999981,2.710000038,2.680000067,2.329999924,2.140000105,1.889999986,1.820000052,1.659999967,1.830000043
MD,1.809999943,1.730000019,1.830000043,1.960000038,2.039999962,2.400000095,1.960000038,2.339999914,2.920000076,3.849999905,4.610000134,4.889999866,4.190000057,3.559999943,3.140000105,3.130000114,3.140000105,3.75
ME,1.039999962,1.620000005,1.529999971,2.069999933,1.99000001,2.029999971,1.590000033,2.079999924,2.24000001,2.420000076,2.789999962,2.940000057,3.079999924,2.819999933,2.420000076,2.440000057,1.980000019,2.25
MI,2.430000067,2.160000086,2.319999933,2.299999952,2.279999971,2.49000001,2.25999999,2.930000067,3.24000001,3.690000057,4,3.99000001,3.339999914,3.059999943,2.99000001,3.349999905,3.480000019,4.25
MN,1.049999952,1.059999943,1.210000038,1.179999948,1.330000043,1.529999971,1.370000005,1.649999976,1.820000052,2.25999999,2.819999933,2.910000086,2.339999914,1.889999986,1.669999957,1.669999957,1.679999948,1.720000029
MO,2.480000019,2.299999952,2.450000048,2.220000029,2.380000114,2.730000019,2.230000019,2.680000067,3.079999924,3.789999962,4.5,4.869999886,4.489999771,3.819999933,3.339999914,3.579999924,3.640000105,3.710000038
MS,4.940000057,4.690000057,4.019999981,3.730000019,3.74000001,3.940000057,3.369999886,3.769999981,4.329999924,5.230000019,6.559999943,7,6.360000134,5.5,5.010000229,5.489999771,4.840000153,5.550000191
MT,1.980000019,1.960000038,1.75999999,1.710000038,1.659999967,1.950000048,1.909999967,2,2.210000038,2.75999999,3.109999895,3.230000019,2.769999981,2.170000076,2.039999962,1.909999967,2.369999886,2.569999933
NC,3.400000095,3.269999981,3.269999981,2.680000067,2.519999981,3.130000114,2.859999895,3.200000048,3.640000105,4.519999981,5.800000191,6.829999924,6.78000021,5.610000134,4.920000076,5.179999828,4.46999979,4.730000019
