 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 AK ," 2,900 "," 3,320 "," 3,540 "," 3,940 "," 4,260 "," 4,430 "," 4,440 "," 4,510 "," 4,850 "," 4,810 "," 4,540 "," 4,180 "," 4,060 "," 3,980 "," 3,820 "," 3,830 "," 3,920 "," 4,110 "
 AL ," 1,890 "," 2,180 "," 2,320 "," 2,520 "," 2,600 "," 2,600 "," 2,510 "," 2,560 "," 2,790 "," 2,820 "," 2,510 "," 2,320 "," 2,240 "," 2,180 "," 2,050 "," 2,070 "," 2,110 "," 2,190 "
 AR ," 1,830 "," 2,040 "," 2,190 "," 2,390 "," 2,430 "," 2,460 "," 2,520 "," 2,540 "," 2,720 "," 2,730 "," 2,390 "," 2,180 "," 2,120 "," 2,060 "," 1,970 "," 1,990 "," 2,050 "," 2,150 "
 AZ ," 2,340 "," 2,550 "," 2,740 "," 3,040 "," 3,110 "," 3,170 "," 2,970 "," 3,100 "," 3,590 "," 3,990 "," 3,740 "," 3,270 "," 3,060 "," 2,930 "," 2,740 "," 2,740 "," 2,810 "," 2,930 "
 CA ," 2,660 "," 2,760 "," 2,870 "," 3,100 "," 3,080 "," 3,120 "," 3,160 "," 3,450 "," 3,960 "," 4,360 "," 4,020 "," 3,530 "," 3,310 "," 3,190 "," 3,100 "," 3,050 "," 3,060 "," 3,220 "
 CO ," 2,600 "," 2,950 "," 3,030 "," 3,320 "," 3,480 "," 3,650 "," 3,730 "," 3,880 "," 4,240 "," 4,450 "," 4,090 "," 3,720 "," 3,560 "," 3,440 "," 3,220 "," 3,230 "," 3,250 "," 3,380 "
 CT ," 2,950 "," 2,940 "," 3,100 "," 3,280 "," 3,330 "," 3,510 "," 3,550 "," 3,660 "," 4,000 "," 4,210 "," 3,830 "," 3,540 "," 3,510 "," 3,490 "," 3,350 "," 3,370 "," 3,460 "," 3,540 "
 DC ," 3,340 "," 3,250 "," 3,310 "," 3,360 "," 3,330 "," 3,340 "," 3,300 "," 3,440 "," 3,760 "," 3,850 "," 3,580 "," 3,410 "," 3,370 "," 3,410 "," 3,310 "," 3,470 "," 3,600 "," 3,780 "
 DE ," 2,570 "," 2,610 "," 2,810 "," 2,970 "," 3,000 "," 3,050 "," 2,990 "," 3,110 "," 3,380 "," 3,590 "," 3,260 "," 3,040 "," 2,980 "," 2,960 "," 2,780 "," 2,810 "," 2,940 "," 3,000 "
 FL ," 2,520 "," 2,600 "," 2,810 "," 3,090 "," 3,100 "," 3,170 "," 3,080 "," 3,200 "," 3,680 "," 4,050 "," 3,740 "," 3,270 "," 3,110 "," 3,010 "," 2,810 "," 2,800 "," 2,910 "," 3,070 "
