state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
AK,3.539999962,3.339999914,4.730000019,5.090000153,5.210000038,5.679999828,5.199999809,6.610000134,6.400000095,5.579999924,7.010000229,7.610000134,5.650000095,5.21999979,5,3.980000019,5.360000134,5.010000229
AL,6.090000153,6.449999809,8.949999809,10.82999992,11.92000008,11.09000015,10.69999981,11.88000011,11.06999969,10.13000011,11.60999966,11.93999958,10.22999954,9.569999695,9.050000191,7.690000057,7.449999809,7.159999847
AR,7.099999905,7.369999886,9.539999962,10.69999981,11.22000027,10.75,10.07999992,11.38000011,10.78999996,10.14999962,11.78999996,11.53999996,9.609999657,9.100000381,8.579999924,7.010000229,7.630000114,7.809999943
AZ,6.050000191,5.53000021,6.880000114,8.949999809,8.970000267,9.18999958,8.340000153,9.100000381,8.960000038,10.94999981,16.36000061,17.26000023,14.43999958,13.27000046,12,8.93999958,9.260000229,8.630000114
CA,6.889999866,5.949999809,7.239999771,8.930000305,8.840000153,8.550000191,7.650000095,8.979999542,9.319999695,11.56999969,17.19000053,17.70999908,14.86999989,13.26000023,11.14000034,8.06000042,8.479999542,8.149999619
CO,3.980000019,3.900000095,5.079999924,6.710000038,7.309999943,7.610000134,6.75,7.820000172,7.960000038,8.050000191,10.72000027,11.05000019,9.409999847,8.539999962,7.78000021,6.130000114,6.170000076,6.010000229
CT,5.21999979,5.210000038,6.139999866,7.489999771,7.809999943,7.210000038,6.46999979,7.699999809,7.639999866,8.300000191,11.15999985,11.17000008,9.229999542,8.850000381,8.220000267,6.670000076,6.71999979,6.440000057
DC,5.849999905,5.579999924,7.420000076,9.479999542,9.720000267,9.510000229,8.420000076,9.18999958,8.220000267,8.350000381,8.930000305,9.050000191,7.699999809,7.760000229,6.429999828,4.889999866,5.639999866,5.21999979
DE,5.309999943,5.730000019,7.579999924,8.43999958,9.039999962,8.699999809,8.289999962,9.81000042,8.979999542,10.19999981,12.07999992,12.63000011,11.85999966,11.42000008,10.25,8.520000458,8.899999619,7.920000076
FL,7.820000172,7.659999847,9.25,11.73999977,11.86999989,11.39999962,10.47000027,11.19999981,10.85000038,13.76000023,19.37999916,20.79999924,17.87999916,16.86000061,15.05000019,10.56000042,10.52000046,9.550000191
GA,5.190000057,5.929999828,7.789999962,9.390000343,9.670000076,9.619999886,9.229999542,10.60000038,9.699999809,9.710000038,13.01000023,13.42000008,11.57999992,10.90999985,9.510000229,7.539999962,8.050000191,7.369999886
HI,5.869999886,5.5,6.440000057,7.829999924,7.670000076,7.440000057,7.230000019,7.630000114,7.78000021,7.869999886,10.47000027,11.77999973,10.28999996,9.630000114,8.770000458,6.340000153,6.96999979,6.019999981
IA,4.519999981,4.96999979,6.079999924,7.239999771,7.590000153,7.659999847,7.179999828,8.399999619,7.619999886,6.909999847,8.390000343,9.130000114,7.75,6.679999828,6.019999981,5.139999866,5.610000134,5.480000019
ID,4.989999771,4.659999847,6,6.840000153,7.03000021,7.420000076,6.599999905,7.690000057,7.110000134,7.820000172,10.68999958,11.71000004,9.760000229,9.279999733,7.889999866,6.28000021,6.659999847,6.179999828
IL,5.170000076,5.190000057,6.539999962,7.920000076,7.900000095,7.909999847,7.289999962,8.520000458,8.140000343,8.609999657,11.30000019,11.48999977,9.979999542,9.470000267,8.75,6.489999771,6.349999905,5.940000057
IN,5.059999943,5.349999905,6.53000021,7.860000134,7.670000076,7.599999905,7.25,8.399999619,8.31000042,8.06000042,10.05000019,10.17000008,8.430000305,8.239999771,7.909999847,6.320000172,6.25,6.099999905
KS,5.210000038,5.550000191,7.070000172,8.069999695,8.43999958,8.260000229,7.789999962,8.489999771,7.96999979,7.75,8.880000114,9.550000191,8.170000076,7.550000191,7.090000153,6.039999962,5.989999771,5.610000134
KY,6.130000114,6.710000038,8.380000114,9.659999847,9.5,9.850000381,9.609999657,10.35999966,9.479999542,9.119999886,10.31999969,10.13000011,8.270000458,7.659999847,7.449999809,6.53000021,6.75,6.570000172
LA,6.75,7.730000019,9.220000267,10.75,11.34000015,11.32999992,10.69999981,12.28999996,11.06000042,10.22999954,11.17000008,11.75,9.840000153,9.390000343,9.010000229,7.059999943,6.980000019,7.059999943
MA,5.550000191,5.71999979,6.170000076,7.559999943,7.559999943,7.480000019,7.039999962,8.550000191,8.829999924,9.119999886,11.85000038,12.31000042,10.55000019,10.13000011,9.5,6.909999847,7.099999905,6.429999828
MD,5.400000095,5.909999847,6.679999828,7.900000095,8.210000038,7.610000134,7.059999943,7.659999847,7.340000153,8.159999847,10.78999996,10.46000004,9,8.520000458,7.889999866,6.269999981,6.75,6.309999943
ME,5,5.46999979,6.309999943,7.309999943,7.789999962,8.300000191,7.53000021,9.449999809,9.449999809,8.680000305,11.35000038,11.60000038,10.07999992,9.489999771,9.079999924,6.940000057,7.25,6.489999771
MI,4.949999809,5.079999924,6.28000021,7.760000229,8.029999733,7.929999828,7.539999962,9.270000458,9.470000267,9.680000305,12.46000004,12.46000004,10.02000046,9.520000458,8.630000114,6.710000038,6.630000114,6.400000095
MN,3.809999943,3.950000048,5.050000191,5.849999905,5.860000134,5.78000021,5.46999979,6.710000038,7.199999809,7.730000019,9.880000114,10.22000027,8.199999809,7.429999828,6.739999771,5.409999847,5.480000019,5.170000076
MO,6.460000038,6.409999847,7.849999905,9.260000229,9.18999958,9.180000305,8.43999958,9.890000343,9.350000381,9.329999924,11.43999958,11.75,9.920000076,9.18999958,8.699999809,7.110000134,7.28000021,7.099999905
