 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 AK ," 19,330 "," 20,110 "," 21,150 "," 21,060 "," 26,080 "," 28,580 "," 30,400 "," 33,210 "," 37,470 "," 39,940 "," 39,320 "," 39,210 "," 34,020 "," 39,860 "," 39,440 "," 39,170 "," 40,470 "," 40,940 "
 AL ," 9,440 "," 10,550 "," 11,660 "," 12,770 "," 14,750 "," 16,130 "," 16,320 "," 18,810 "," 21,670 "," 23,510 "," 22,690 "," 22,370 "," 22,180 "," 21,720 "," 20,780 "," 20,500 "," 20,440 "," 20,310 "
 AR ," 7,840 "," 8,310 "," 9,080 "," 10,180 "," 11,880 "," 13,030 "," 14,360 "," 15,360 "," 17,460 "," 18,720 "," 18,280 "," 18,100 "," 18,370 "," 18,440 "," 17,780 "," 17,560 "," 17,530 "," 17,580 "
 AZ ," 18,050 "," 20,000 "," 20,250 "," 22,780 "," 27,360 "," 30,180 "," 33,770 "," 42,080 "," 48,930 "," 50,220 "," 45,540 "," 40,860 "," 38,000 "," 34,800 "," 33,150 "," 33,070 "," 33,000 "," 33,370 "
 CA ," 27,340 "," 29,230 "," 28,760 "," 31,700 "," 39,410 "," 45,700 "," 52,700 "," 62,590 "," 70,080 "," 70,100 "," 65,460 "," 60,330 "," 57,220 "," 54,400 "," 51,290 "," 51,850 "," 51,190 "," 51,890 "
 CO ," 23,860 "," 27,250 "," 27,510 "," 31,710 "," 39,250 "," 42,950 "," 44,940 "," 48,610 "," 52,350 "," 54,170 "," 51,430 "," 48,430 "," 47,370 "," 45,630 "," 44,850 "," 45,280 "," 46,050 "," 47,060 "
 CT ," 22,410 "," 24,070 "," 24,050 "," 26,050 "," 31,070 "," 35,340 "," 38,500 "," 42,770 "," 46,200 "," 47,970 "," 46,880 "," 46,140 "," 45,910 "," 44,970 "," 43,260 "," 42,300 "," 40,990 "," 41,270 "
 DC ," 23,270 "," 23,780 "," 23,250 "," 26,450 "," 32,440 "," 37,670 "," 43,710 "," 51,090 "," 58,590 "," 59,810 "," 59,720 "," 58,820 "," 59,390 "," 58,640 "," 58,370 "," 58,930 "," 58,760 "," 59,270 "
 DE ," 17,540 "," 17,720 "," 18,380 "," 21,130 "," 24,840 "," 27,710 "," 28,950 "," 34,760 "," 38,310 "," 40,830 "," 39,930 "," 39,490 "," 38,530 "," 38,090 "," 35,920 "," 35,960 "," 35,870 "," 35,490 "
 FL ," 13,440 "," 14,630 "," 15,300 "," 17,300 "," 20,900 "," 24,150 "," 27,350 "," 34,470 "," 39,990 "," 41,040 "," 37,720 "," 34,200 "," 32,560 "," 30,440 "," 27,220 "," 26,330 "," 25,700 "," 26,010 "
 GA ," 14,930 "," 16,860 "," 18,100 "," 20,580 "," 24,190 "," 27,180 "," 29,440 "," 31,860 "," 35,330 "," 36,910 "," 34,510 "," 32,970 "," 31,740 "," 30,380 "," 28,210 "," 27,630 "," 27,280 "," 27,390 "
 HI ," 26,870 "," 25,930 "," 24,940 "," 23,950 "," 31,730 "," 35,890 "," 39,870 "," 46,280 "," 52,570 "," 55,030 "," 55,300 "," 53,690 "," 53,110 "," 52,230 "," 51,060 "," 51,070 "," 51,770 "," 52,380 "
 IA ," 9,220 "," 10,500 "," 11,020 "," 12,420 "," 15,290 "," 17,700 "," 19,130 "," 20,970 "," 22,830 "," 24,140 "," 24,220 "," 23,890 "," 24,420 "," 25,060 "," 23,470 "," 23,510 "," 23,730 "," 24,020 "
 ID ," 15,220 "," 16,060 "," 16,270 "," 17,820 "," 21,020 "," 23,670 "," 24,990 "," 28,480 "," 33,230 "," 35,250 "," 34,080 "," 32,310 "," 31,470 "," 30,420 "," 29,070 "," 28,970 "," 29,330 "," 29,480 "
 IL ," 16,560 "," 18,350 "," 18,220 "," 20,180 "," 24,570 "," 27,610 "," 30,220 "," 34,030 "," 37,170 "," 38,790 "," 36,580 "," 34,470 "," 33,970 "," 32,780 "," 30,790 "," 30,220 "," 29,840 "," 29,810 "
 IN ," 12,500 "," 13,450 "," 13,980 "," 15,150 "," 18,430 "," 19,980 "," 20,650 "," 22,280 "," 24,280 "," 25,080 "," 24,130 "," 23,480 "," 23,290 "," 23,010 "," 22,150 "," 21,840 "," 22,110 "," 22,000 "
 KS ," 11,760 "," 12,510 "," 12,830 "," 14,060 "," 17,060 "," 18,410 "," 19,390 "," 20,840 "," 22,760 "," 23,900 "," 23,690 "," 22,980 "," 23,060 "," 22,700 "," 22,050 "," 21,850 "," 22,550 "," 22,450 "
 KY ," 9,690 "," 10,640 "," 10,790 "," 11,920 "," 14,420 "," 15,750 "," 17,030 "," 18,330 "," 20,350 "," 21,430 "," 20,980 "," 20,640 "," 20,500 "," 20,440 "," 19,610 "," 19,450 "," 19,540 "," 19,410 "
 LA ," 7,960 "," 8,920 "," 9,460 "," 10,680 "," 13,180 "," 14,330 "," 10,550 "," 15,200 "," 17,920 "," 19,410 "," 19,510 "," 19,580 "," 19,880 "," 19,870 "," 19,510 "," 19,640 "," 20,030 "," 19,950 "
 MA ," 20,000 "," 22,160 "," 22,300 "," 24,300 "," 32,100 "," 36,430 "," 40,150 "," 44,160 "," 47,220 "," 48,040 "," 46,340 "," 44,880 "," 44,620 "," 44,060 "," 43,620 "," 43,260 "," 43,460 "," 43,910 "
 MD ," 23,850 "," 24,950 "," 24,680 "," 26,930 "," 32,280 "," 37,170 "," 41,450 "," 49,120 "," 55,190 "," 57,890 "," 55,980 "," 53,830 "," 53,500 "," 52,640 "," 50,540 "," 50,300 "," 49,320 "," 49,070 "
 ME ," 11,800 "," 12,800 "," 13,420 "," 14,220 "," 17,430 "," 19,970 "," 21,990 "," 25,170 "," 26,850 "," 28,240 "," 27,840 "," 27,180 "," 27,340 "," 27,000 "," 25,810 "," 25,510 "," 25,180 "," 25,840 "
 MI ," 14,580 "," 16,640 "," 17,220 "," 19,310 "," 23,430 "," 25,500 "," 26,950 "," 28,650 "," 29,830 "," 29,990 "," 27,800 "," 25,600 "," 24,660 "," 23,520 "," 22,240 "," 21,890 "," 22,140 "," 22,330 "
 MN ," 17,650 "," 19,820 "," 20,320 "," 22,660 "," 29,530 "," 32,750 "," 35,710 "," 39,250 "," 41,880 "," 42,360 "," 40,650 "," 38,420 "," 38,100 "," 37,190 "," 36,250 "," 35,870 "," 35,900 "," 36,040 "
 MO ," 11,930 "," 13,070 "," 13,590 "," 14,740 "," 18,140 "," 19,630 "," 21,350 "," 23,100 "," 25,300 "," 26,740 "," 25,940 "," 25,050 "," 24,830 "," 24,400 "," 23,490 "," 23,240 "," 23,290 "," 23,270 "
 MS ," 6,510 "," 7,240 "," 7,980 "," 8,670 "," 9,930 "," 10,980 "," 9,600 "," 12,300 "," 14,240 "," 15,500 "," 15,310 "," 15,040 "," 15,120 "," 15,000 "," 14,430 "," 14,340 "," 14,530 "," 14,570 "
 MT ," 11,080 "," 11,780 "," 12,350 "," 13,640 "," 16,480 "," 18,790 "," 20,220 "," 22,160 "," 26,050 "," 28,120 "," 27,990 "," 27,350 "," 27,730 "," 27,700 "," 27,250 "," 27,980 "," 27,150 "," 28,710 "
 NC ," 13,260 "," 14,790 "," 15,690 "," 17,520 "," 20,500 "," 22,350 "," 24,110 "," 26,460 "," 29,730 "," 31,610 "," 30,990 "," 30,310 "," 30,230 "," 29,520 "," 28,150 "," 27,730 "," 27,480 "," 27,390 "
 ND ," 7,410 "," 7,830 "," 7,940 "," 8,380 "," 11,790 "," 12,700 "," 14,010 "," 14,970 "," 16,910 "," 17,920 "," 18,230 "," 18,390 "," 19,030 "," 20,570 "," 21,580 "," 22,660 "," 23,790 "," 24,980 "
 NE ," 11,770 "," 11,430 "," 12,450 "," 13,190 "," 16,900 "," 19,430 "," 20,830 "," 22,400 "," 24,030 "," 24,990 "," 24,950 "," 22,760 "," 24,450 "," 24,400 "," 23,260 "," 23,170 "," 23,820 "," 24,030 "
 NH ," 16,110 "," 17,560 "," 17,640 "," 19,890 "," 25,650 "," 30,300 "," 33,400 "," 37,350 "," 39,860 "," 40,930 "," 39,490 "," 37,850 "," 37,660 "," 36,870 "," 35,640 "," 34,860 "," 34,800 "," 35,320 "
 NJ ," 20,320 "," 20,000 "," 21,200 "," 23,910 "," 29,060 "," 32,690 "," 36,570 "," 41,380 "," 46,060 "," 48,180 "," 46,810 "," 45,880 "," 45,470 "," 44,300 "," 41,950 "," 41,280 "," 39,100 "," 39,240 "
 NM ," 12,730 "," 13,590 "," 14,130 "," 16,180 "," 19,000 "," 19,970 "," 22,130 "," 23,960 "," 27,400 "," 29,440 "," 28,470 "," 27,760 "," 27,410 "," 26,940 "," 25,430 "," 25,140 "," 24,670 "," 24,290 "
 NV ," 20,270 "," 21,780 "," 21,970 "," 25,040 "," 30,020 "," 34,420 "," 41,280 "," 50,570 "," 58,450 "," 57,910 "," 51,120 "," 44,980 "," 40,550 "," 37,460 "," 33,050 "," 32,570 "," 33,010 "," 33,590 "
 NY ," 14,660 "," 15,820 "," 16,150 "," 18,250 "," 21,350 "," 24,050 "," 26,400 "," 30,290 "," 34,380 "," 35,320 "," 34,610 "," 33,970 "," 33,770 "," 33,570 "," 32,170 "," 31,830 "," 31,240 "," 31,490 "
 OH ," 12,720 "," 14,450 "," 14,940 "," 16,420 "," 19,590 "," 21,260 "," 22,250 "," 23,690 "," 24,490 "," 25,550 "," 24,620 "," 23,590 "," 23,080 "," 22,490 "," 21,410 "," 21,200 "," 21,230 "," 20,950 "
 OK ," 8,220 "," 8,870 "," 9,430 "," 10,510 "," 12,410 "," 13,530 "," 14,340 "," 15,720 "," 17,610 "," 18,830 "," 18,850 "," 18,970 "," 18,980 "," 19,090 "," 18,270 "," 18,390 "," 18,640 "," 18,760 "
 OR ," 17,690 "," 19,660 "," 19,830 "," 21,910 "," 25,890 "," 28,270 "," 30,000 "," 34,410 "," 39,060 "," 41,170 "," 39,920 "," 38,050 "," 37,560 "," 36,380 "," 35,620 "," 35,530 "," 35,690 "," 36,140 "
 PA ," 11,960 "," 12,530 "," 13,040 "," 14,530 "," 16,880 "," 18,720 "," 20,480 "," 22,800 "," 24,840 "," 26,280 "," 25,940 "," 25,500 "," 25,480 "," 25,350 "," 24,440 "," 24,340 "," 24,050 "," 24,310 "
 PR ," 5,760 "," 6,920 "," 8,330 "," 9,930 "," 11,260 "," 11,890 "," 13,460 "," 14,500 "," 14,450 "," 15,920 "," 15,840 "," 15,760 "," 14,520 "," 16,040 "," 15,350 "," 14,910 "," 12,880 "," 12,530 "
 RI ," 15,820 "," 17,190 "," 16,730 "," 18,780 "," 24,360 "," 27,700 "," 31,760 "," 35,400 "," 38,290 "," 39,090 "," 37,250 "," 35,880 "," 35,400 "," 34,100 "," 32,760 "," 31,520 "," 31,940 "," 32,030 "
 SC ," 11,320 "," 13,890 "," 14,320 "," 15,870 "," 18,490 "," 19,800 "," 21,270 "," 23,510 "," 26,440 "," 28,190 "," 27,470 "," 26,830 "," 26,480 "," 26,000 "," 24,770 "," 24,540 "," 24,550 "," 24,810 "
 SD ," 8,520 "," 9,270 "," 10,710 "," 12,870 "," 17,060 "," 18,970 "," 20,080 "," 23,060 "," 24,460 "," 24,810 "," 24,940 "," 24,310 "," 25,200 "," 25,310 "," 23,380 "," 23,440 "," 23,980 "," 24,440 "
 TN ," 11,530 "," 13,790 "," 13,760 "," 15,070 "," 17,270 "," 18,500 "," 19,740 "," 21,550 "," 24,310 "," 25,860 "," 25,410 "," 24,650 "," 24,450 "," 23,980 "," 23,120 "," 23,270 "," 23,410 "," 23,380 "
 TX ," 10,860 "," 11,780 "," 12,310 "," 13,680 "," 16,230 "," 17,700 "," 18,630 "," 19,990 "," 22,630 "," 24,200 "," 24,070 "," 23,630 "," 23,470 "," 23,200 "," 22,220 "," 22,590 "," 23,280 "," 23,770 "
 UT ," 19,550 "," 21,600 "," 20,390 "," 22,190 "," 27,260 "," 28,760 "," 30,770 "," 34,580 "," 40,400 "," 43,320 "," 41,700 "," 40,120 "," 39,670 "," 38,240 "," 37,470 "," 37,680 "," 38,240 "," 38,910 "
 VA ," 20,370 "," 22,000 "," 22,210 "," 24,320 "," 29,280 "," 34,060 "," 38,630 "," 45,120 "," 50,310 "," 52,000 "," 50,360 "," 48,360 "," 48,020 "," 47,250 "," 46,250 "," 46,320 "," 46,180 "," 45,830 "
 VT ," 13,430 "," 15,540 "," 15,520 "," 17,050 "," 19,800 "," 21,160 "," 22,650 "," 25,300 "," 28,190 "," 29,680 "," 29,420 "," 28,740 "," 29,130 "," 28,750 "," 28,300 "," 28,020 "," 27,700 "," 27,970 "
 WA ," 22,060 "," 25,540 "," 25,100 "," 27,030 "," 32,040 "," 34,590 "," 37,330 "," 42,080 "," 48,450 "," 51,320 "," 50,040 "," 47,910 "," 47,130 "," 46,150 "," 44,280 "," 44,160 "," 43,980 "," 44,640 "
 WI ," 13,480 "," 15,330 "," 14,520 "," 15,500 "," 19,460 "," 20,330 "," 23,610 "," 26,160 "," 28,180 "," 28,900 "," 28,370 "," 27,240 "," 27,230 "," 26,230 "," 25,590 "," 25,310 "," 25,390 "," 25,390 "
 WV ," 5,710 "," 7,440 "," 7,450 "," 7,990 "," 9,300 "," 10,420 "," 11,140 "," 12,460 "," 13,780 "," 14,870 "," 14,540 "," 14,850 "," 14,890 "," 15,100 "," 14,620 "," 14,720 "," 14,910 "," 14,850 "
 WY ," 10,750 "," 11,340 "," 12,420 "," 13,750 "," 16,560 "," 18,630 "," 20,730 "," 22,660 "," 26,890 "," 29,340 "," 29,730 "," 29,060 "," 29,020 "," 29,120 "," 28,420 "," 28,940 "," 30,480 "," 30,400 "
