 state , Q4_1999 , Q4_2000 , Q4_2001 , Q4_2002 , Q4_2003 , Q4_2004 , Q4_2005 , Q4_2006 , Q4_2007 , Q4_2008 , Q4_2009 , Q4_2010 , Q4_2011 , Q4_2012 , Q4_2013 , Q4_2014 , Q4_2015 , Q4_2016 
 AK ," 445,500 "," 467,440 "," 487,120 "," 486,320 "," 478,640 "," 492,740 "," 497,340 "," 502,840 "," 499,840 "," 497,080 "," 503,360 "," 510,780 "," 511,740 "," 512,700 "," 544,100 "," 548,900 "," 552,420 "," 554,580 "
 AL ," 3,482,320 "," 3,654,860 "," 3,787,340 "," 3,788,580 "," 3,780,480 "," 3,778,600 "," 3,844,180 "," 3,848,160 "," 3,793,720 "," 3,717,120 "," 3,709,680 "," 3,723,400 "," 3,726,320 "," 3,724,580 "," 3,927,960 "," 3,985,360 "," 4,044,500 "," 4,123,100 "
 AR ," 1,878,060 "," 2,006,560 "," 2,112,340 "," 2,139,080 "," 2,140,020 "," 2,172,680 "," 2,218,480 "," 2,235,720 "," 2,206,800 "," 2,169,600 "," 2,173,060 "," 2,184,720 "," 2,180,800 "," 2,168,020 "," 2,285,040 "," 2,322,720 "," 2,347,720 "," 2,388,520 "
 AZ ," 3,613,500 "," 3,939,040 "," 4,172,960 "," 4,243,240 "," 4,280,840 "," 4,372,960 "," 4,512,140 "," 4,608,000 "," 4,658,880 "," 4,623,400 "," 4,641,760 "," 4,680,620 "," 4,694,640 "," 4,700,320 "," 4,968,360 "," 5,079,940 "," 5,183,100 "," 5,309,640 "
 CA ," 24,649,800 "," 26,410,920 "," 27,788,720 "," 27,874,640 "," 27,970,460 "," 27,927,720 "," 28,151,100 "," 28,233,360 "," 28,153,600 "," 27,591,200 "," 27,532,660 "," 27,652,160 "," 27,628,360 "," 27,657,260 "," 29,101,220 "," 29,755,140 "," 30,273,560 "," 30,933,740 "
 CO ," 3,200,360 "," 3,421,500 "," 3,615,420 "," 3,615,700 "," 3,641,860 "," 3,683,380 "," 3,751,240 "," 3,800,100 "," 3,803,380 "," 3,760,480 "," 3,803,880 "," 3,847,460 "," 3,872,000 "," 3,896,400 "," 4,132,820 "," 4,216,660 "," 4,302,820 "," 4,396,980 "
 CT ," 2,507,620 "," 2,672,500 "," 2,763,000 "," 2,821,780 "," 2,839,520 "," 2,859,120 "," 2,892,560 "," 2,902,260 "," 2,894,200 "," 2,846,860 "," 2,819,160 "," 2,835,460 "," 2,824,840 "," 2,815,700 "," 2,935,960 "," 2,991,240 "," 3,008,180 "," 3,043,040 "
 DC ," 466,940 "," 489,040 "," 514,440 "," 504,160 "," 501,660 "," 492,780 "," 502,660 "," 493,660 "," 497,160 "," 480,180 "," 478,440 "," 483,900 "," 483,640 "," 486,060 "," 520,440 "," 531,120 "," 541,600 "," 553,760 "
 DE ," 604,000 "," 643,020 "," 669,760 "," 672,880 "," 677,900 "," 691,380 "," 711,100 "," 712,580 "," 716,200 "," 707,500 "," 709,220 "," 714,980 "," 716,200 "," 720,540 "," 761,880 "," 771,760 "," 781,940 "," 795,020 "
 FL ," 13,905,160 "," 14,792,180 "," 15,470,500 "," 15,402,960 "," 15,394,060 "," 15,496,280 "," 15,869,360 "," 15,997,140 "," 15,849,860 "," 15,509,940 "," 15,410,360 "," 15,492,260 "," 15,524,300 "," 15,560,040 "," 16,587,060 "," 16,884,160 "," 17,336,360 "," 17,787,580 "
