state,Q4_1999,Q4_2000,Q4_2001,Q4_2002,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016
AK," 27,480 "," 28,740 "," 29,930 "," 30,820 "," 36,420 "," 40,530 "," 43,290 "," 46,450 "," 51,490 "," 54,110 "," 53,140 "," 52,730 "," 48,440 "," 54,740 "," 54,000 "," 54,330 "," 56,050 "," 57,040 "
AL," 16,400 "," 18,340 "," 19,920 "," 21,510 "," 24,390 "," 26,390 "," 26,600 "," 29,530 "," 33,240 "," 35,540 "," 34,180 "," 33,590 "," 34,390 "," 34,370 "," 33,380 "," 33,760 "," 34,210 "," 34,780 "
AR," 14,580 "," 15,380 "," 16,420 "," 18,180 "," 20,260 "," 21,510 "," 23,250 "," 24,550 "," 27,480 "," 28,940 "," 27,990 "," 27,470 "," 28,910 "," 29,480 "," 29,030 "," 29,430 "," 30,020 "," 30,820 "
AZ," 24,730 "," 27,840 "," 28,960 "," 32,080 "," 37,720 "," 41,950 "," 46,190 "," 55,550 "," 63,750 "," 65,870 "," 60,200 "," 54,320 "," 52,210 "," 48,890 "," 46,950 "," 47,230 "," 47,630 "," 48,590 "
CA," 34,210 "," 36,600 "," 36,750 "," 40,410 "," 49,410 "," 57,710 "," 65,970 "," 77,070 "," 85,940 "," 86,940 "," 81,410 "," 74,960 "," 72,320 "," 68,970 "," 65,440 "," 66,140 "," 65,740 "," 66,970 "
CO," 30,800 "," 35,560 "," 36,260 "," 41,180 "," 50,010 "," 55,230 "," 57,890 "," 62,090 "," 66,140 "," 68,830 "," 65,490 "," 61,640 "," 62,390 "," 60,830 "," 59,870 "," 60,900 "," 62,200 "," 64,090 "
CT," 29,370 "," 31,580 "," 32,220 "," 34,950 "," 41,350 "," 47,170 "," 51,280 "," 56,010 "," 60,200 "," 63,090 "," 61,760 "," 60,570 "," 61,540 "," 60,690 "," 58,940 "," 58,170 "," 57,300 "," 58,100 "
DC," 30,960 "," 31,800 "," 31,990 "," 35,310 "," 42,870 "," 50,010 "," 57,040 "," 65,280 "," 74,060 "," 76,420 "," 76,020 "," 75,070 "," 79,070 "," 78,710 "," 78,440 "," 79,530 "," 79,700 "," 81,200 "
DE," 24,660 "," 25,450 "," 26,840 "," 30,260 "," 34,800 "," 38,420 "," 40,330 "," 46,550 "," 50,930 "," 54,020 "," 52,500 "," 51,690 "," 52,240 "," 52,200 "," 49,820 "," 50,430 "," 50,870 "," 51,110 "
FL," 20,070 "," 21,860 "," 23,300 "," 26,080 "," 30,760 "," 35,200 "," 39,730 "," 48,020 "," 54,630 "," 56,510 "," 52,510 "," 47,960 "," 46,980 "," 44,840 "," 41,170 "," 40,780 "," 40,600 "," 41,710 "
GA," 22,790 "," 25,380 "," 27,250 "," 30,330 "," 34,970 "," 38,980 "," 41,940 "," 44,710 "," 49,160 "," 51,030 "," 47,960 "," 45,650 "," 45,900 "," 44,960 "," 42,850 "," 43,140 "," 43,430 "," 44,670 "
HI," 35,400 "," 35,960 "," 34,680 "," 33,780 "," 40,700 "," 47,030 "," 51,810 "," 58,210 "," 65,040 "," 68,610 "," 68,320 "," 66,130 "," 66,540 "," 65,930 "," 64,670 "," 65,590 "," 67,010 "," 68,500 "
IA," 15,760 "," 17,300 "," 18,360 "," 20,240 "," 23,560 "," 26,560 "," 28,040 "," 30,550 "," 32,940 "," 34,610 "," 34,270 "," 33,660 "," 36,240 "," 37,350 "," 35,870 "," 36,430 "," 37,180 "," 38,010 "
ID," 21,540 "," 23,000 "," 23,740 "," 25,860 "," 29,730 "," 33,420 "," 35,480 "," 39,540 "," 45,290 "," 47,870 "," 45,980 "," 43,350 "," 43,910 "," 43,150 "," 41,800 "," 42,310 "," 43,190 "," 44,130 "
IL," 23,140 "," 25,700 "," 26,040 "," 28,630 "," 33,840 "," 37,890 "," 41,170 "," 45,610 "," 49,460 "," 51,750 "," 49,200 "," 46,640 "," 47,690 "," 46,670 "," 44,500 "," 44,350 "," 44,220 "," 44,800 "
IN," 19,170 "," 20,600 "," 21,540 "," 23,470 "," 27,800 "," 29,750 "," 30,820 "," 33,000 "," 35,520 "," 36,570 "," 34,970 "," 34,010 "," 35,240 "," 35,220 "," 34,360 "," 34,610 "," 35,330 "," 35,850 "
KS," 17,910 "," 19,360 "," 19,980 "," 21,760 "," 25,610 "," 27,120 "," 28,950 "," 30,920 "," 33,490 "," 35,100 "," 34,460 "," 33,310 "," 35,060 "," 35,440 "," 34,810 "," 35,080 "," 35,820 "," 36,260 "
KY," 15,960 "," 17,230 "," 17,640 "," 19,470 "," 22,490 "," 24,320 "," 25,920 "," 27,700 "," 30,560 "," 31,940 "," 31,080 "," 30,560 "," 31,520 "," 31,790 "," 30,880 "," 31,360 "," 31,940 "," 32,390 "
LA," 15,260 "," 16,570 "," 17,510 "," 19,540 "," 22,410 "," 24,190 "," 20,390 "," 25,870 "," 29,570 "," 31,580 "," 31,370 "," 30,980 "," 32,240 "," 32,760 "," 32,560 "," 33,490 "," 34,560 "," 35,220 "
MA," 27,340 "," 29,690 "," 30,250 "," 33,170 "," 42,120 "," 48,000 "," 52,820 "," 57,060 "," 60,610 "," 62,180 "," 60,100 "," 58,430 "," 59,730 "," 59,400 "," 58,940 "," 58,940 "," 59,820 "," 60,770 "
MD," 32,400 "," 33,570 "," 33,990 "," 36,810 "," 43,330 "," 49,400 "," 54,670 "," 63,170 "," 70,030 "," 73,490 "," 71,170 "," 68,410 "," 69,640 "," 69,060 "," 66,970 "," 67,480 "," 67,020 "," 67,530 "
ME," 19,160 "," 20,550 "," 21,950 "," 23,370 "," 27,620 "," 30,690 "," 33,740 "," 36,850 "," 38,980 "," 40,840 "," 39,990 "," 39,090 "," 40,730 "," 40,580 "," 39,600 "," 39,790 "," 40,010 "," 41,310 "
MI," 21,630 "," 24,150 "," 25,260 "," 28,150 "," 33,050 "," 36,000 "," 37,690 "," 39,460 "," 40,930 "," 41,420 "," 38,660 "," 36,200 "," 36,940 "," 35,970 "," 34,570 "," 34,700 "," 35,280 "," 36,320 "
MN," 24,690 "," 27,810 "," 29,390 "," 32,290 "," 39,800 "," 44,220 "," 48,160 "," 52,030 "," 55,200 "," 55,930 "," 53,660 "," 50,840 "," 52,110 "," 51,310 "," 50,470 "," 50,660 "," 51,110 "," 51,850 "
MO," 18,200 "," 20,010 "," 21,060 "," 22,650 "," 26,540 "," 28,660 "," 30,670 "," 32,830 "," 35,950 "," 37,640 "," 36,400 "," 34,820 "," 36,450 "," 36,410 "," 35,550 "," 35,890 "," 36,510 "," 37,170 "
MS," 13,290 "," 14,220 "," 15,220 "," 16,710 "," 18,640 "," 19,980 "," 18,480 "," 22,010 "," 25,000 "," 26,890 "," 26,370 "," 25,660 "," 27,050 "," 27,680 "," 27,070 "," 27,710 "," 28,650 "," 29,430 "
